,lcl_id,ds,y,air_temperature
0,MAC000003,2012-11-01 00:00:00,0.276,11.8
1,MAC000003,2012-11-01 00:30:00,2.112,11.8
2,MAC000003,2012-11-01 01:00:00,2.2,8.8
3,MAC000003,2012-11-01 01:30:00,2.2379999,8.8
4,MAC000003,2012-11-01 02:00:00,1.0140001,8.5
5,MAC000003,2012-11-01 02:30:00,1.2359999,8.5
6,MAC000003,2012-11-01 03:00:00,0.931,7.8
7,MAC000003,2012-11-01 03:30:00,0.979,7.8
8,MAC000003,2012-11-01 04:00:00,1.2359999,7.1
9,MAC000003,2012-11-01 04:30:00,0.741,7.1
10,MAC000003,2012-11-01 05:00:00,0.125,7.0
11,MAC000003,2012-11-01 05:30:00,0.79,7.0
12,MAC000003,2012-11-01 06:00:00,0.11,7.0
13,MAC000003,2012-11-01 06:30:00,0.509,7.0
14,MAC000003,2012-11-01 07:00:00,0.499,7.0
15,MAC000003,2012-11-01 07:30:00,0.126,7.0
16,MAC000003,2012-11-01 08:00:00,0.146,6.9
17,MAC000003,2012-11-01 08:30:00,0.372,6.9
18,MAC000003,2012-11-01 09:00:00,0.245,8.0
19,MAC000003,2012-11-01 09:30:00,0.214,8.0
20,MAC000003,2012-11-01 10:00:00,0.191,7.9
21,MAC000003,2012-11-01 10:30:00,0.189,7.9
22,MAC000003,2012-11-01 11:00:00,0.104,8.6
23,MAC000003,2012-11-01 11:30:00,0.129,8.6
24,MAC000003,2012-11-01 12:00:00,0.224,10.1
25,MAC000003,2012-11-01 12:30:00,0.174,10.1
26,MAC000003,2012-11-01 13:00:00,0.148,7.8
27,MAC000003,2012-11-01 13:30:00,0.114,7.8
28,MAC000003,2012-11-01 14:00:00,0.113,8.4
29,MAC000003,2012-11-01 14:30:00,0.163,8.4
30,MAC000003,2012-11-01 15:00:00,0.114,8.5
31,MAC000003,2012-11-01 15:30:00,0.143,8.5
32,MAC000003,2012-11-01 16:00:00,0.088,8.1
33,MAC000003,2012-11-01 16:30:00,0.08,8.1
34,MAC000003,2012-11-01 17:00:00,0.124,7.2
35,MAC000003,2012-11-01 17:30:00,0.071,7.2
36,MAC000003,2012-11-01 18:00:00,0.11,6.7
37,MAC000003,2012-11-01 18:30:00,0.121,6.7
38,MAC000003,2012-11-01 19:00:00,0.116,5.9
39,MAC000003,2012-11-01 19:30:00,0.179,5.9
40,MAC000003,2012-11-01 20:00:00,0.219,5.1
41,MAC000003,2012-11-01 20:30:00,0.461,5.1
42,MAC000003,2012-11-01 21:00:00,0.262,4.5
43,MAC000003,2012-11-01 21:30:00,0.125,4.5
44,MAC000003,2012-11-01 22:00:00,0.209,4.1
45,MAC000003,2012-11-01 22:30:00,0.266,4.1
46,MAC000003,2012-11-01 23:00:00,0.17,4.4
47,MAC000003,2012-11-01 23:30:00,0.116,4.4
48,MAC000003,2012-11-02 00:00:00,0.104,5.0
49,MAC000003,2012-11-02 00:30:00,2.1340001,5.0
50,MAC000003,2012-11-02 01:00:00,2.2309999,5.7
51,MAC000003,2012-11-02 01:30:00,1.824,5.7
52,MAC000003,2012-11-02 02:00:00,0.948,5.7
53,MAC000003,2012-11-02 02:30:00,1.347,5.7
54,MAC000003,2012-11-02 03:00:00,1.006,6.1
55,MAC000003,2012-11-02 03:30:00,1.201,6.1
56,MAC000003,2012-11-02 04:00:00,0.914,6.2
57,MAC000003,2012-11-02 04:30:00,0.94,6.2
58,MAC000003,2012-11-02 05:00:00,1.16,5.5
59,MAC000003,2012-11-02 05:30:00,0.137,5.5
60,MAC000003,2012-11-02 06:00:00,1.2180001,4.7
61,MAC000003,2012-11-02 06:30:00,0.193,4.7
62,MAC000003,2012-11-02 07:00:00,0.512,4.8
63,MAC000003,2012-11-02 07:30:00,0.244,4.8
64,MAC000003,2012-11-02 08:00:00,0.401,4.7
65,MAC000003,2012-11-02 08:30:00,0.222,4.7
66,MAC000003,2012-11-02 09:00:00,0.193,6.2
67,MAC000003,2012-11-02 09:30:00,0.249,6.2
68,MAC000003,2012-11-02 10:00:00,0.271,8.3
69,MAC000003,2012-11-02 10:30:00,0.302,8.3
70,MAC000003,2012-11-02 11:00:00,0.342,9.9
71,MAC000003,2012-11-02 11:30:00,0.366,9.9
72,MAC000003,2012-11-02 12:00:00,0.237,9.8
73,MAC000003,2012-11-02 12:30:00,0.169,9.8
74,MAC000003,2012-11-02 13:00:00,0.264,9.7
75,MAC000003,2012-11-02 13:30:00,0.266,9.7
76,MAC000003,2012-11-02 14:00:00,0.463,11.2
77,MAC000003,2012-11-02 14:30:00,0.241,11.2
78,MAC000003,2012-11-02 15:00:00,0.2,8.5
79,MAC000003,2012-11-02 15:30:00,0.139,8.5
80,MAC000003,2012-11-02 16:00:00,0.154,8.4
81,MAC000003,2012-11-02 16:30:00,0.156,8.4
82,MAC000003,2012-11-02 17:00:00,0.11,7.6
83,MAC000003,2012-11-02 17:30:00,0.133,7.6
84,MAC000003,2012-11-02 18:00:00,0.119,7.0
85,MAC000003,2012-11-02 18:30:00,0.1,7.0
86,MAC000003,2012-11-02 19:00:00,0.078,6.3
87,MAC000003,2012-11-02 19:30:00,0.093,6.3
88,MAC000003,2012-11-02 20:00:00,0.129,6.2
89,MAC000003,2012-11-02 20:30:00,0.172,6.2
90,MAC000003,2012-11-02 21:00:00,0.233,5.6
91,MAC000003,2012-11-02 21:30:00,0.138,5.6
92,MAC000003,2012-11-02 22:00:00,0.147,4.9
93,MAC000003,2012-11-02 22:30:00,0.121,4.9
94,MAC000003,2012-11-02 23:00:00,0.152,4.7
95,MAC000003,2012-11-02 23:30:00,0.14,4.7
96,MAC000003,2012-11-03 00:00:00,0.169,4.4
97,MAC000003,2012-11-03 00:30:00,1.974,4.4
98,MAC000003,2012-11-03 01:00:00,2.03,3.9
99,MAC000003,2012-11-03 01:30:00,2.079,3.9
100,MAC000003,2012-11-03 02:00:00,1.147,3.9
101,MAC000003,2012-11-03 02:30:00,0.836,3.9
102,MAC000003,2012-11-03 03:00:00,1.3150001,3.6
103,MAC000003,2012-11-03 03:30:00,0.904,3.6
